"config","task","status","successes","trials","success_rate","source_res_json"
"demo_clean","place_shoe","complete","5","10","0.5","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_shoe/client/stseed-10000/metrics/place_shoe/res.json"
"demo_clean","put_bottles_dustbin","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/put_bottles_dustbin/client/stseed-10000/metrics/put_bottles_dustbin/res.json"
"demo_clean","put_object_cabinet","complete","7","10","0.7","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json"
"demo_clean","rotate_qrcode","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json"
"demo_clean","scan_object","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/scan_object/client/stseed-10000/metrics/scan_object/res.json"
"demo_clean","stack_blocks_three","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stack_blocks_three/client/stseed-10000/metrics/stack_blocks_three/res.json"
"demo_clean","stack_blocks_two","complete","7","10","0.7","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stack_blocks_two/client/stseed-10000/metrics/stack_blocks_two/res.json"
"demo_clean","stack_bowls_three","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stack_bowls_three/client/stseed-10000/metrics/stack_bowls_three/res.json"
"demo_clean","stamp_seal","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stamp_seal/client/stseed-10000/metrics/stamp_seal/res.json"
"demo_randomized","beat_block_hammer","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/beat_block_hammer/client/stseed-10000/metrics/beat_block_hammer/res.json"
"demo_randomized","blocks_ranking_rgb","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/blocks_ranking_rgb/client/stseed-10000/metrics/blocks_ranking_rgb/res.json"
"demo_randomized","blocks_ranking_size","pending","0","0","0","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/blocks_ranking_size/client/stseed-10000/metrics/blocks_ranking_size/res.json"
"demo_randomized","dump_bin_bigbin","complete","10","10","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json"
"demo_randomized","handover_block","complete","1","10","0.1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/handover_block/client/stseed-10000/metrics/handover_block/res.json"
"demo_randomized","handover_mic","partial_running","6","7","0.857142857142857","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/handover_mic/client/stseed-10000/metrics/handover_mic/res.json"
"demo_randomized","hanging_mug","complete","5","10","0.5","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/hanging_mug/client/stseed-10000/metrics/hanging_mug/res.json"
"demo_randomized","move_stapler_pad","complete","6","10","0.6","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json"
"demo_randomized","open_laptop","complete","9","10","0.9","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/open_laptop/client/stseed-10000/metrics/open_laptop/res.json"
