"config","task","status","successes","failures","episodes_completed","episodes_required","success_rate","wilson_95_low","wilson_95_high","source_res_json"
"demo_clean","place_object_scale","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_object_scale/client/stseed-10000/metrics/place_object_scale/res.json"
"demo_clean","place_phone_stand","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_phone_stand/client/stseed-10000/metrics/place_phone_stand/res.json"
"demo_clean","place_shoe","complete","5","5","10","10","0.5","0.236593090512564","0.763406909487436","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_shoe/client/stseed-10000/metrics/place_shoe/res.json"
"demo_clean","put_object_cabinet","complete","7","3","10","10","0.7","0.396778147461145","0.892208732593699","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json"
"demo_clean","rotate_qrcode","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json"
"demo_clean","scan_object","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/scan_object/client/stseed-10000/metrics/scan_object/res.json"
"demo_clean","stack_blocks_two","complete","7","3","10","10","0.7","0.396778147461145","0.892208732593699","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stack_blocks_two/client/stseed-10000/metrics/stack_blocks_two/res.json"
"demo_clean","stamp_seal","complete","10","0","10","10","1","0.722467200137111","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stamp_seal/client/stseed-10000/metrics/stamp_seal/res.json"
"demo_randomized","beat_block_hammer","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/beat_block_hammer/client/stseed-10000/metrics/beat_block_hammer/res.json"
"demo_randomized","dump_bin_bigbin","complete","10","0","10","10","1","0.722467200137111","1","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json"
"demo_randomized","handover_block","complete","1","9","10","10","0.1","0.0178762130950729","0.404150026795238","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/handover_block/client/stseed-10000/metrics/handover_block/res.json"
"demo_randomized","hanging_mug","complete","5","5","10","10","0.5","0.236593090512564","0.763406909487436","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/hanging_mug/client/stseed-10000/metrics/hanging_mug/res.json"
"demo_randomized","move_stapler_pad","complete","6","4","10","10","0.6","0.312673769733658","0.831819670293764","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json"
"demo_randomized","open_laptop","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/open_laptop/client/stseed-10000/metrics/open_laptop/res.json"
"demo_randomized","pick_diverse_bottles","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/pick_diverse_bottles/client/stseed-10000/metrics/pick_diverse_bottles/res.json"
"demo_randomized","place_a2b_right","complete","9","1","10","10","0.9","0.595849973204762","0.982123786904927","/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_a2b_right/client/stseed-10000/metrics/place_a2b_right/res.json"
