source_wave_id,method,unit_count,mean_latent_mse,min_latent_mse,max_latent_mse,mean_cosine_similarity
0,RTC,4,0.6828338503837585,0.5347069501876831,0.85546875,0.5248656421899796
0,FBFM,4,0.6751488000154495,0.5265663862228394,0.8547433018684387,0.5301253348588943
1,RTC,4,0.7487970292568207,0.556239902973175,1.0301542282104492,0.5602904483675957
1,FBFM,4,0.7362968772649765,0.5560990571975708,1.0287712812423706,0.5703193172812462
2,RTC,4,0.7654512524604797,0.6103318929672241,0.9799894690513611,0.5605657696723938
2,FBFM,4,0.7431521564722061,0.6067275404930115,0.9645852446556091,0.5711764097213745
3,RTC,4,0.741315558552742,0.5543380379676819,0.9478055834770203,0.5799601301550865
3,FBFM,4,0.6716935709118843,0.4843926727771759,0.9225099682807922,0.611309677362442
4,RTC,4,0.9026829898357391,0.6513081789016724,1.3072750568389893,0.4993453919887543
4,FBFM,4,0.8369997143745422,0.554621696472168,1.1741665601730347,0.5216355621814728
5,RTC,4,0.8754521310329437,0.7822698354721069,1.0134369134902954,0.5237608850002289
5,FBFM,4,0.8553487956523895,0.7753212451934814,0.8955780863761902,0.5331062227487564
6,RTC,3,0.8086779912312826,0.685687243938446,0.9025017023086548,0.5186294714609782
6,FBFM,3,0.7847598592440287,0.6317389011383057,0.8770630359649658,0.5360132455825806
7,RTC,1,0.8802427649497986,0.8802427649497986,0.8802427649497986,0.5230671167373657
7,FBFM,1,0.8476032018661499,0.8476032018661499,0.8476032018661499,0.5325326323509216
8,RTC,1,1.1188850402832031,1.1188850402832031,1.1188850402832031,0.42905914783477783
8,FBFM,1,0.8963716626167297,0.8963716626167297,0.8963716626167297,0.5230790376663208
9,RTC,1,0.9412505626678467,0.9412505626678467,0.9412505626678467,0.540219247341156
9,FBFM,1,0.7900872230529785,0.7900872230529785,0.7900872230529785,0.5713549852371216
10,RTC,1,0.9397432208061218,0.9397432208061218,0.9397432208061218,0.5552079677581787
10,FBFM,1,0.8682073354721069,0.8682073354721069,0.8682073354721069,0.5323888659477234
11,RTC,1,1.0284420251846313,1.0284420251846313,1.0284420251846313,0.4868766665458679
11,FBFM,1,0.9678304195404053,0.9678304195404053,0.9678304195404053,0.48894813656806946
12,RTC,1,0.9713352918624878,0.9713352918624878,0.9713352918624878,0.5079081058502197
12,FBFM,1,1.0212353467941284,1.0212353467941284,1.0212353467941284,0.44888901710510254
13,RTC,1,1.046415090560913,1.046415090560913,1.046415090560913,0.41728276014328003
13,FBFM,1,0.809581458568573,0.809581458568573,0.809581458568573,0.5366724729537964
14,RTC,1,1.1323002576828003,1.1323002576828003,1.1323002576828003,0.3679051399230957
14,FBFM,1,0.8977399468421936,0.8977399468421936,0.8977399468421936,0.48450300097465515
15,RTC,1,1.0217006206512451,1.0217006206512451,1.0217006206512451,0.4444127082824707
15,FBFM,1,1.1640381813049316,1.1640381813049316,1.1640381813049316,0.39193257689476013
16,RTC,1,1.136016845703125,1.136016845703125,1.136016845703125,0.36107954382896423
16,FBFM,1,1.1652251482009888,1.1652251482009888,1.1652251482009888,0.35688507556915283
17,RTC,1,0.938551664352417,0.938551664352417,0.938551664352417,0.4745040833950043
17,FBFM,1,1.4337899684906006,1.4337899684906006,1.4337899684906006,0.29099828004837036
18,RTC,1,0.7295244932174683,0.7295244932174683,0.7295244932174683,0.5825709104537964
18,FBFM,1,0.941638708114624,0.941638708114624,0.941638708114624,0.4731108546257019
19,RTC,1,0.9418779611587524,0.9418779611587524,0.9418779611587524,0.48293939232826233
19,FBFM,1,1.5995012521743774,1.5995012521743774,1.5995012521743774,0.3059089481830597
20,RTC,1,0.933413565158844,0.933413565158844,0.933413565158844,0.4612516164779663
20,FBFM,1,1.435489296913147,1.435489296913147,1.435489296913147,0.2777661979198456
21,RTC,1,0.9380835890769958,0.9380835890769958,0.9380835890769958,0.4880378246307373
21,FBFM,1,1.1077874898910522,1.1077874898910522,1.1077874898910522,0.38362979888916016
22,RTC,1,1.2081148624420166,1.2081148624420166,1.2081148624420166,0.3962269127368927
22,FBFM,1,0.9324904680252075,0.9324904680252075,0.9324904680252075,0.47564053535461426
23,RTC,1,1.1451122760772705,1.1451122760772705,1.1451122760772705,0.3996659517288208
23,FBFM,1,0.981421947479248,0.981421947479248,0.981421947479248,0.43911874294281006
