denoising_solver_step,independent_units,mean_cache_branch_velocity_rms,min_cache_branch_velocity_rms,max_cache_branch_velocity_rms,mean_repeat_floor_velocity_rms,min_repeat_floor_velocity_rms,max_repeat_floor_velocity_rms
0,4,0.010905590490438044,0.0071644168347120285,0.014645958784967661,0.0,0.0,0.0
1,4,0.010798716393765062,0.0074156413320451975,0.014420553110539913,0.0011673435219563544,0.0,0.0018039102433249354
2,4,0.010831563035026193,0.007383490679785609,0.014313406776636839,0.0012614037259481847,0.0,0.0018610093975439668
3,4,0.01081078831339255,0.0068712199572473764,0.014964945614337921,0.001682853267993778,0.0,0.003631172003224492
4,4,0.010861515358556062,0.0073485777247697115,0.014236549381166697,0.0031197157222777605,0.0029510031454265118,0.0034670050954446197
5,4,0.010708172165323049,0.007056745933368802,0.014243179932236671,0.0031608521239832044,0.002985765226185322,0.0033018910326063633
6,4,0.010896277497522533,0.0068349638022482395,0.01474704872816801,0.00354545540176332,0.003150066826492548,0.0038300633896142244
7,4,0.010895259736571461,0.007086495170369744,0.014496877789497375,0.003343402175232768,0.0025625325506553054,0.003798068151809275
8,4,0.010942332679405808,0.007343779318034649,0.0145524344407022,0.003290986584033817,0.0030748656718060374,0.003760126535780728
9,4,0.011181106441654265,0.0072533381171524525,0.015005468856543303,0.00347253869404085,0.0033166229259222746,0.0037498719757422805
10,4,0.011321883415803313,0.0073537142015993595,0.015058087650686502,0.003566200815839693,0.003403770737349987,0.0037272886838763952
11,4,0.0114447824889794,0.0071642654947936535,0.014980662148445845,0.0033547451021149755,0.003047542297281325,0.003645836957730353
12,4,0.01160949788754806,0.007624174701049924,0.014985769987106323,0.0033688466937746853,0.0030457620741799474,0.003600101568736136
13,4,0.011501375993248075,0.007403605384752154,0.015238848514854908,0.0031821324955672026,0.002801103168167174,0.0035788825480267406
14,4,0.011465758492704481,0.007457878673449159,0.015031448565423489,0.0034452489926479757,0.002918483456596732,0.003918068134225905
15,4,0.011441585724242032,0.007172016892582178,0.015326662454754114,0.003527082357322797,0.0032116126967594028,0.0037519061006605625
16,4,0.011914437869563699,0.007996761705726385,0.015488780569285154,0.0035846075625158846,0.0032515795901417732,0.0038762681651860476
17,4,0.011858040932565928,0.007600122597068548,0.015776606742292643,0.0037989940319675952,0.0031295232474803925,0.004772768821567297
18,4,0.01197789894649759,0.007919039810076356,0.01581516908481717,0.0036443266726564616,0.0033450364135205746,0.004255333449691534
19,4,0.012020604801364243,0.007627473212778568,0.015769629273563623,0.003679255547467619,0.0032924438128247857,0.0039426099974662066
20,4,0.012222467688843608,0.007824012078344822,0.016227902378886938,0.004006864357506856,0.0038348828675225377,0.0042941325809806585
21,4,0.012304539908654988,0.007581554818898439,0.01598304882645607,0.003749949944904074,0.003460291074588895,0.004199557472020388
22,4,0.012058725988026708,0.007733560400083661,0.015421650372445583,0.003938616893719882,0.0035552389454096556,0.004394944524392486
23,4,0.012416806304827332,0.007597519550472498,0.016085014678537846,0.004193137981928885,0.0038299730513244867,0.0044942800886929035
24,4,0.012863006384577602,0.008024547947570682,0.016308406367897987,0.00433833766146563,0.003736453247256577,0.004830180900171399
25,4,0.012792742985766381,0.0079223255161196,0.016570431645959616,0.004102347564185038,0.0037199443904682994,0.0046346415765583515
26,4,0.01281101891072467,0.008426633896306157,0.01635914947837591,0.004266709554940462,0.003530374728143215,0.004785249009728432
27,4,0.01344609702937305,0.008325132541358471,0.01702373381704092,0.004392827511765063,0.0039548000786453485,0.004867634270340204
28,4,0.013392699300311506,0.008482993580400944,0.01700789202004671,0.0042702734062913805,0.003765729838050902,0.004720762139186263
29,4,0.01384481118293479,0.008960465667769313,0.01746945222839713,0.00463522580685094,0.003805039217695594,0.00529711926355958
30,4,0.014004166703671217,0.009180753957480192,0.01767623284831643,0.004705393628682941,0.0043805737514048815,0.005405026720836759
