denoising_solver_step,independent_units,mean_cache_branch_velocity_rms,min_cache_branch_velocity_rms,max_cache_branch_velocity_rms,mean_repeat_floor_velocity_rms,min_repeat_floor_velocity_rms,max_repeat_floor_velocity_rms
31,4,0.013947934552561492,0.009041755693033338,0.017558125779032707,0.004779766430146992,0.0041169163305312395,0.005177028011530638
32,4,0.014320996007882059,0.009239910170435905,0.018026901874691248,0.005212596035562456,0.00439493777230382,0.005848572589457035
33,4,0.014613355277106166,0.009830138646066189,0.018532529938966036,0.005417549284175038,0.005319033749401569,0.005534638650715351
34,4,0.01516177982557565,0.010400611907243729,0.019023830071091652,0.0054235823336057365,0.0044957674108445644,0.005977132124826312
35,4,0.015491697238758206,0.010063130874186754,0.019706981256604195,0.00584332924336195,0.0049009257927536964,0.006426921579986811
36,4,0.015996695612557232,0.011152672115713358,0.02027524821460247,0.006555488391313702,0.005692108068615198,0.007187200011685491
37,4,0.01591649209149182,0.011460971552878618,0.019991575740277767,0.006252189457882196,0.005381532479077578,0.006657412508502603
38,4,0.01702951977495104,0.012523178942501545,0.021576181054115295,0.006736366369295865,0.006084415363147855,0.007287111831828952
39,4,0.017466486082412302,0.0131542282178998,0.021521711722016335,0.007129552948754281,0.006611514370888472,0.0075766961090266705
40,4,0.018326056539081037,0.013338506687432528,0.022633633576333523,0.007732048979960382,0.006590397795662284,0.008577060420066118
41,4,0.019300397485494614,0.014370558317750692,0.02309579122811556,0.008588440075982362,0.007790915435180068,0.009086596313863993
42,4,0.020050906809046865,0.01623173290863633,0.024039845913648605,0.008989146095700562,0.008373687043786049,0.009621468838304281
43,4,0.02166388905607164,0.019001680426299572,0.024914763867855072,0.010042449459433556,0.009220388252288103,0.010823324788361788
44,4,0.024183166678994894,0.019381357356905937,0.027542338706552982,0.011716805980540812,0.011111607775092125,0.012226730585098267
45,4,0.026905748061835766,0.022903773933649063,0.030441945418715477,0.012465014471672475,0.011453798972070217,0.013614845462143421
46,4,0.03139341645874083,0.02647986076772213,0.03627713583409786,0.014836894231848419,0.012953556142747402,0.015508715528994799
47,4,0.04033843893557787,0.03715135529637337,0.043352117761969566,0.019673831295222044,0.018298564478754997,0.02136964537203312
48,4,0.05536490399390459,0.04645702987909317,0.060800932347774506,0.027843526331707835,0.025906615890562534,0.03191560786217451
49,4,0.10244380217045546,0.09278612211346626,0.11492665484547615,0.05466054379940033,0.05022843927145004,0.06152713857591152
50,4,0.06438165856525302,0.05178310535848141,0.08267361111938953,0.03810453228652477,0.02919988241046667,0.04677346162497997
