weight,expression,audit_bytes,audit_sha256,server_errors,nonfinite_numeric_records,solver_steps,scheduler_guidance_steps,guided_records,jacobian_reused_records,gpu_peak_allocated_gib,state_error_norm_p95,state_error_norm_p99,state_error_norm_max,action_error_norm_p95,action_error_norm_p99,action_error_norm_max,video_correction_norm_p95,video_correction_norm_p99,video_correction_norm_max,action_correction_norm_p95,action_correction_norm_p99,action_correction_norm_max,base_video_velocity_norm_p95,base_video_velocity_norm_p99,base_video_velocity_norm_max,base_action_velocity_norm_p95,base_action_velocity_norm_p99,base_action_velocity_norm_max,guided_video_velocity_norm_p95,guided_video_velocity_norm_p99,guided_video_velocity_norm_max,guided_action_velocity_norm_p95,guided_action_velocity_norm_p99,guided_action_velocity_norm_max
binary,1,152078612,7769e2562ed0658a5221e7248d9dd2c8180d86f2b8da276a440ef69de3ddcaf6,0,0,48800,97600,144000,48000,26.63296937942505,6725.70361328125,42519.23828125,8574129664.0,245.7940063476558,1784.7142358398523,285483840.0,11085.317822265564,72528.38750000008,22756573184.0,350.8111877441406,2553.7234545898737,1238662656.0,608.9103332519529,664.3123168945312,811.656982421875,402.92031249999764,3182.093994140625,325763232.0,69722.2578125,510301.5390625042,227554426880.0,2601.315515136714,19381.65429687508,12386644992.0
rms,sqrt(56/9600),96282946,6495e1eda1a78bc35d4f42edf25033172c078f33291d0eabea06dfef39f9d7a0,0,0,30805,61636,90041,30031,28.767789363861084,10.524044036865234,16.908375930786185,774404.0625,5.898962020874023,7.144270515441914,93109.8203125,84.52498626708984,224.13072204589878,33763364.0,4.187246322631836,11.975915718078618,469042.34375,275.19451904296875,320.8833923339844,613.2859497070312,28.51887321472168,32.47170562744143,113766.9609375,844.2224731445312,2043.5316162109375,139248624.0,45.94961929321289,111.878176879883,1934274.375
l1_mass,56/9600,65722987,12424d40201476fad7271e85943a1fbfb44d851af649edd9be72a84fed9004cf,0,0,21018,42080,61010,20366,29.23186206817627,0.6995392441749573,0.8719228351116178,1.4196979999542236,5.473906517028809,6.415343284606934,8.284993171691895,5.5218374252319276,11.654498577117916,55.17148208618164,0.7328891158103943,1.7779798543453198,16.31583023071289,264.91501922607415,303.23584716796853,416.4776916503906,28.172563552856445,28.932418823242188,31.435779571533203,273.5314636230469,324.62133361816365,629.3732299804688,28.335768890380855,29.539613723754883,96.86891174316406
