suite,task_id,trial_id,binary_success,binary_elapsed_seconds,binary_executed_steps,rms_success,rms_elapsed_seconds,rms_executed_steps,l1_mass_success,l1_mass_elapsed_seconds,l1_mass_executed_steps
libero_spatial,0,0,0,148.0589148090221,480,0,149.0377566170646,480,1,28.94254451408051,86
libero_spatial,0,1,0,148.51269179105293,480,1,41.10849718004465,128,1,29.519331232993864,90
libero_spatial,0,2,0,148.50050322699826,480,1,32.12220212002285,98,1,28.302728726994246,86
libero_spatial,0,3,0,148.68235052993987,480,1,42.2154076580191,131,1,29.506813049083576,89
libero_spatial,0,4,0,148.5557592160767,480,1,73.77178048097994,234,0,148.9668261629995,480
libero_spatial,1,0,0,148.53907893004362,480,1,45.37578384601511,140,1,50.219067257945426,156
libero_spatial,1,1,0,148.71145330602303,480,1,56.57762442401145,177,1,53.28934776096139,166
libero_spatial,1,2,0,148.43817256495822,480,1,52.518118159030564,164,1,53.236128022079356,166
libero_spatial,1,3,0,148.51902107300702,480,0,149.27983113296796,480,1,80.10113129892852,254
libero_spatial,1,4,0,148.73148073803168,480,0,149.1671592380153,480,1,53.31961934606079,166
libero_spatial,2,0,0,148.67769057897385,480,1,32.11319875589106,98,1,36.82529083394911,113
libero_spatial,2,1,0,148.95125308900606,480,1,36.856287470902316,114,1,34.51286657399032,106
libero_spatial,2,2,0,148.88533113803715,480,1,46.72127720806748,146,1,33.75374582095537,104
libero_spatial,2,3,0,148.58275437401608,480,1,43.28612778603565,133,1,34.63482430006843,106
libero_spatial,2,4,0,149.01446858304553,480,1,36.26312373008113,112,1,34.913109494023956,107
libero_spatial,3,0,0,149.07390732807107,480,1,30.55411806702614,92,1,55.46192259900272,173
libero_spatial,3,1,0,149.59340183308814,480,1,47.23743920295965,147,1,53.44567323604133,168
libero_spatial,3,2,0,148.9966640259372,480,0,149.18979630002286,480,1,46.24956916004885,144
libero_spatial,3,3,0,148.95757727592718,480,0,149.42750030301977,480,1,44.4043552930234,138
libero_spatial,3,4,0,148.9548801180208,480,1,33.79345714091323,104,1,55.338123875902966,173
libero_spatial,4,0,0,149.3785235870164,480,0,149.678257404943,480,0,149.84799806505907,480
libero_spatial,4,1,0,149.6364365379559,480,0,149.75729887990747,480,0,149.8734612109838,480
libero_spatial,4,2,0,149.37560652696993,480,0,149.33241530507803,480,1,51.10424505302217,160
libero_spatial,4,3,0,149.11165568500292,480,0,149.59644942102022,480,0,149.71292745799292,480
libero_spatial,4,4,0,149.56649838993326,480,0,149.5981395719573,480,0,149.6143516950542,480
libero_spatial,5,0,0,148.7514755569864,480,0,149.83437002100982,480,1,79.53755124507006,251
libero_spatial,5,1,0,149.30101302196272,480,0,149.41978976200335,480,0,149.0583300079452,480
libero_spatial,5,2,0,149.13471983396448,480,1,91.7438808369916,291,0,149.0222915969789,480
libero_spatial,5,3,0,149.2473202389665,480,0,149.02367049409077,480,0,149.08469294791576,480
libero_spatial,5,4,0,149.26272372005042,480,1,114.1946370289661,364,1,74.9396991370013,236
libero_spatial,6,0,0,148.7687116030138,480,0,148.92567105800845,480,1,40.701634531025775,125
libero_spatial,6,1,0,149.0487902140012,480,1,37.41443987400271,115,1,34.90548913402017,107
libero_spatial,6,2,0,148.92846651398577,480,1,35.55376963398885,109,1,34.47478317201603,106
libero_spatial,6,3,0,148.80449463799596,480,1,36.02328679501079,111,1,35.585618579993024,109
libero_spatial,6,4,0,148.75680818990804,480,1,36.870674022007734,114,1,36.89811972400639,113
libero_spatial,7,0,0,148.82205700397026,480,1,60.49331644899212,189,1,39.6873078889912,122
libero_spatial,7,1,0,149.19088279502466,480,0,149.37219904898666,480,1,35.97984003194142,110
libero_spatial,7,2,0,149.04237122705672,480,1,38.828642514999956,120,1,35.716301566921175,109
libero_spatial,7,3,0,149.06264509505127,480,1,38.28022598195821,117,1,36.375686784042045,112
libero_spatial,7,4,0,149.02480615105014,480,1,37.767661181045696,116,1,37.91318236896768,116
libero_spatial,8,0,0,148.79676248296164,480,0,149.29069055407308,480,1,35.62525548308622,109
libero_spatial,8,1,0,148.68258680403233,480,1,35.71660529903602,109,1,34.47195868997369,106
libero_spatial,8,2,0,148.5642495150678,480,1,54.67402969300747,171,1,80.36223156796768,255
libero_spatial,8,3,0,148.76231369306333,480,1,36.37891056993976,112,1,34.66823218902573,106
libero_spatial,8,4,0,148.75237867305987,480,1,55.276130271027796,173,1,60.846723827999085,192
libero_spatial,9,0,0,148.99721731396858,480,0,149.10923728498165,480,1,60.06599184800871,188
libero_spatial,9,1,0,148.9623819879489,480,0,149.34732916892972,480,0,149.00011025904678,480
libero_spatial,9,2,0,149.08998125093058,480,0,149.05833737901412,480,0,149.35220411792397,480
libero_spatial,9,3,0,148.97497158299666,480,1,72.9583579810569,231,1,45.460017674951814,141
libero_spatial,9,4,0,149.16896820394322,480,0,149.19944396894425,480,1,47.26602376799565,147
libero_object,0,0,0,147.5719314609887,480,1,55.913431963999756,177,1,69.42321262508631,221
libero_object,0,1,0,147.47425430896692,480,0,147.6798793040216,480,1,71.49034838704392,228
libero_object,0,2,0,147.2301652369788,480,1,122.23372590704821,395,0,147.68688439007383,480
libero_object,0,3,0,147.5546976980986,480,1,76.5549219789682,244,0,147.694561415934,480
libero_object,0,4,0,147.45698413997889,480,1,72.09645965602249,230,1,103.82760860503186,334
libero_object,1,0,0,147.48119974695146,480,1,46.10662675101776,145,1,42.910796000040136,135
libero_object,1,1,0,147.47906818101183,480,1,68.09315226308536,218,1,43.07577343203593,136
libero_object,1,2,0,147.34973827400245,480,0,147.51535710098688,480,1,43.66375144303311,137
libero_object,1,3,0,147.18822317698505,480,1,105.04908581695054,339,1,46.248158289003186,146
libero_object,1,4,0,147.3443279840285,480,1,57.64605569303967,184,1,59.56334954907652,189
libero_object,2,0,0,147.20078644994646,480,1,42.91330564999953,135,1,55.0146056850208,174
libero_object,2,1,0,147.2770174529869,480,0,147.52378486306407,480,0,147.49491618201137,480
libero_object,2,2,0,147.63017235009465,480,0,147.55729407805484,480,0,147.5286921269726,480
libero_object,2,3,0,147.31322627409827,480,1,41.74219563603401,131,1,40.69252690603025,128
libero_object,2,4,0,147.43781596899498,480,0,147.76439116196707,480,1,127.11337481508963,411
libero_object,3,0,0,147.2697448640829,480,1,86.85567475901917,280,1,45.35357031202875,143
libero_object,3,1,0,147.38119403400924,480,1,42.169457703013904,132,1,42.81497061706614,135
libero_object,3,2,0,147.20422536390834,480,0,147.427291042055,480,1,43.7380922670709,138
libero_object,3,3,0,147.34257017099299,480,0,147.34408229298424,480,1,47.26132612593938,149
libero_object,3,4,0,147.41724986303598,480,1,88.05002535390668,283,1,45.2622486819746,143
