weight,expression,suite,episodes,successes,success_rate,wilson_low,wilson_high,mean_executed_steps,mean_elapsed_seconds
binary,1,libero_spatial,50,0,0.0,6.938893903907228e-18,0.07134759913335872,480.0,148.91810345134232
binary,1,libero_object,50,0,0.0,6.938893903907228e-18,0.07134759913335872,480.0,147.3617504819273
rms,sqrt(56/9600),libero_spatial,50,30,0.6,0.4618143774758936,0.7239161026974346,281.2,88.3866870855214
rms,sqrt(56/9600),libero_object,50,29,0.58,0.4423344176857823,0.7062499664528802,318.9,98.73167714194395
l1_mass,56/9600,libero_spatial,50,40,0.8,0.6696289406777459,0.887562499842239,208.22,66.04190560368123
l1_mass,56/9600,libero_object,36,25,0.6944444444444444,0.5314372714948966,0.8199554840517008,268.8888888888889,83.60439502047504
