weight,expression,executed_actions,action_norm_mean,action_norm_p95,action_norm_p99,action_norm_max,max_absolute_coordinate,action_norm_gt_10,action_norm_gt_100
binary,1,48000,3392.6654942173814,92.84961331105023,555.5070671292875,25453960.77819464,20341556.0,11264,2265
rms,sqrt(56/9600),30005,3.6840229471380095,1.4129654135613998,1.522563621175242,9028.947730616872,7369.16650390625,43,24
l1_mass,56/9600,20091,1.2004271760832472,1.4333494127843271,1.5159499462347452,1.6078030640454184,1.10595703125,0,0
