weight_a,weight_b,paired_episodes,joint_success,a_only_success,b_only_success,joint_failure,a_rate,b_rate,b_minus_a,exact_mcnemar_p
binary,rms,86,0,0,48,38,0.0,0.5581395348837209,0.5581395348837209,7.105427357601002e-15
binary,l1_mass,86,0,0,65,21,0.0,0.7558139534883721,0.7558139534883721,5.421010862427522e-20
rms,l1_mass,86,44,4,21,17,0.5581395348837209,0.7558139534883721,0.19767441860465115,0.0009105205535888672
