source_kind,source_path,mode,config,task,successes,trials,initial_eval_seed,episode_seeds,validation
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_object_basket/client/stseed-10000/metrics/place_object_basket/res.json,FBFM,demo_clean,place_object_basket,8,10,10000,10000;10001;10002;10003;10004;10005;10006;10008;20002;20004,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_object_scale/client/stseed-10000/metrics/place_object_scale/res.json,FBFM,demo_clean,place_object_scale,10,10,10000,10000;10003;10005;10006;10007;10009;10010;10012;10013;10014,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_object_stand/client/stseed-10000/metrics/place_object_stand/res.json,FBFM,demo_clean,place_object_stand,7,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/place_phone_stand/client/stseed-10000/metrics/place_phone_stand/res.json,FBFM,demo_clean,place_phone_stand,8,10,10000,10000;10001;10002;10003;10004;10005;10006;10008;10009;10010,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/press_stapler/client/stseed-10000/metrics/press_stapler/res.json,FBFM,demo_clean,press_stapler,9,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10009;10010,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json,FBFM,demo_clean,put_object_cabinet,6,10,10000,10003;10010;10012;10019;10030;20000;20025;20036;30010;30023,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json,FBFM,demo_clean,rotate_qrcode,9,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10011,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/shake_bottle/client/stseed-10000/metrics/shake_bottle/res.json,FBFM,demo_clean,shake_bottle,10,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/shake_bottle_horizontally/client/stseed-10000/metrics/shake_bottle_horizontally/res.json,FBFM,demo_clean,shake_bottle_horizontally,10,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/stack_blocks_two/client/stseed-10000/metrics/stack_blocks_two/res.json,FBFM,demo_clean,stack_blocks_two,10,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/stamp_seal/client/stseed-10000/metrics/stamp_seal/res.json,FBFM,demo_clean,stamp_seal,10,10,10000,10001;10002;10004;10005;10007;10008;10010;10011;10014;10018,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_clean/turn_switch/client/stseed-10000/metrics/turn_switch/res.json,FBFM,demo_clean,turn_switch,7,10,10000,10000;10001;10002;10003;10005;10006;10007;10008;10010;10011,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/adjust_bottle/client/stseed-10000/metrics/adjust_bottle/res.json,FBFM,demo_randomized,adjust_bottle,10,10,10000,10000;10001;10003;10004;10005;10006;10007;10008;10011;10013,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/beat_block_hammer/client/stseed-10000/metrics/beat_block_hammer/res.json,FBFM,demo_randomized,beat_block_hammer,9,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/click_alarmclock/client/stseed-10000/metrics/click_alarmclock/res.json,FBFM,demo_randomized,click_alarmclock,10,10,10000,10000;10001;10002;10003;10005;10006;10007;10008;10009;10011,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/click_bell/client/stseed-10000/metrics/click_bell/res.json,FBFM,demo_randomized,click_bell,10,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json,FBFM,demo_randomized,dump_bin_bigbin,10,10,10000,10000;10002;10003;10005;10006;10007;10009;10010;10013;10014,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/grab_roller/client/stseed-10000/metrics/grab_roller/res.json,FBFM,demo_randomized,grab_roller,10,10,10000,10000;10001;10002;10003;10004;10005;10006;10008;10009;10010,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/handover_block/client/stseed-10000/metrics/handover_block/res.json,FBFM,demo_randomized,handover_block,0,10,10000,10000;10001;10002;10003;20000;20002;20003;30000;30002;30004,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/handover_mic/client/stseed-10000/metrics/handover_mic/res.json,FBFM,demo_randomized,handover_mic,8,10,10000,10000;10002;10003;10004;10005;10006;10008;10010;10012;10014,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/lift_pot/client/stseed-10000/metrics/lift_pot/res.json,FBFM,demo_randomized,lift_pot,10,10,10000,10000;10002;10004;10005;10007;10016;10021;10022;10023;10026,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_can_pot/client/stseed-10000/metrics/move_can_pot/res.json,FBFM,demo_randomized,move_can_pot,9,10,10000,10001;10002;10003;10005;10007;10008;10009;10010;10011;10012,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_pillbottle_pad/client/stseed-10000/metrics/move_pillbottle_pad/res.json,FBFM,demo_randomized,move_pillbottle_pad,9,10,10000,10000;10004;10005;10007;10008;10009;10010;10011;10014;10016,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_playingcard_away/client/stseed-10000/metrics/move_playingcard_away/res.json,FBFM,demo_randomized,move_playingcard_away,10,10,10000,10000;10002;10003;10004;10005;10006;10007;10008;10009;10010,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json,FBFM,demo_randomized,move_stapler_pad,6,10,10000,10000;10001;10003;10004;10005;10008;10009;10010;10011;10012,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/open_laptop/client/stseed-10000/metrics/open_laptop/res.json,FBFM,demo_randomized,open_laptop,9,10,10000,10000;10001;10002;10003;10004;10005;10006;10010;10012;10013,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/pick_diverse_bottles/client/stseed-10000/metrics/pick_diverse_bottles/res.json,FBFM,demo_randomized,pick_diverse_bottles,8,10,10000,10000;10002;10003;10008;10015;10018;10019;10021;10027;10030,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/pick_dual_bottles/client/stseed-10000/metrics/pick_dual_bottles/res.json,FBFM,demo_randomized,pick_dual_bottles,8,10,10000,10000;10002;10003;10004;10005;10006;10007;10010;10011;10012,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_a2b_left/client/stseed-10000/metrics/place_a2b_left/res.json,FBFM,demo_randomized,place_a2b_left,10,10,10000,10000;10001;10005;10006;10007;10008;10009;10010;10011;10012,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_a2b_right/client/stseed-10000/metrics/place_a2b_right/res.json,FBFM,demo_randomized,place_a2b_right,10,10,10000,10002;10005;10006;10007;10009;10010;10013;10014;10015;10016,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_bread_basket/client/stseed-10000/metrics/place_bread_basket/res.json,FBFM,demo_randomized,place_bread_basket,9,10,10000,10001;10002;10003;10004;10006;10007;10009;10010;10011;10012,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_bread_skillet/client/stseed-10000/metrics/place_bread_skillet/res.json,FBFM,demo_randomized,place_bread_skillet,7,10,10000,10001;10002;10004;10006;10009;10010;10014;10019;10024;10028,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json,FBFM,demo_randomized,place_burger_fries,10,10,10000,10002;10003;10004;10005;10006;10007;10009;10010;10011;10012,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_can_basket/client/stseed-10000/metrics/place_can_basket/res.json,FBFM,demo_randomized,place_can_basket,9,10,10000,10000;10001;10002;10003;10005;10006;10007;10008;10009;10010,ok
