weight,expression,value,episodes,successes,failures,micro_rate,task_macro_rate,wilson_low,wilson_high,mean_executed_steps,mean_elapsed_seconds,median_elapsed_seconds,mean_inference_wave_seconds
binary,1,1.0,100,0,100,0.0,0.0,3.469446951953614e-18,0.03699349820698568,480.0,148.13992696663482,147.84454357955838,2.4082818534606343
rms,sqrt(56/9600),0.07637626158259733,100,59,41,0.59,0.5900000000000001,0.4920143005341078,0.6813268697886348,300.05,93.55918211373267,75.53927981248125,2.36475607993658
l1_mass,56/9600,0.005833333333333334,100,73,27,0.73,0.73,0.6356788323205499,0.8073041585042365,242.42,75.99495192387957,51.853437095996924,2.350810364500189
