task,trial_id,wave_id,method,horizon,camera,rgb_mse_0_1
pick_diverse_bottles,21,0,RTC,4,observation.images.cam_left_wrist,0.04908747598528862
pick_diverse_bottles,21,0,RTC,1,observation.images.cam_right_wrist,0.03316587954759598
pick_diverse_bottles,21,0,RTC,2,observation.images.cam_right_wrist,0.0390935055911541
pick_diverse_bottles,21,0,RTC,3,observation.images.cam_right_wrist,0.04712599515914917
pick_diverse_bottles,21,0,RTC,4,observation.images.cam_right_wrist,0.04956542328000069
pick_diverse_bottles,20,0,FBFM,1,observation.images.cam_high,0.011802871711552143
pick_diverse_bottles,20,0,FBFM,2,observation.images.cam_high,0.012206492945551872
pick_diverse_bottles,20,0,FBFM,3,observation.images.cam_high,0.014057904481887817
pick_diverse_bottles,20,0,FBFM,4,observation.images.cam_high,0.010824618861079216
pick_diverse_bottles,20,0,FBFM,1,observation.images.cam_left_wrist,0.03731866553425789
pick_diverse_bottles,20,0,FBFM,2,observation.images.cam_left_wrist,0.034087955951690674
pick_diverse_bottles,20,0,FBFM,3,observation.images.cam_left_wrist,0.042121171951293945
pick_diverse_bottles,20,0,FBFM,4,observation.images.cam_left_wrist,0.05361690744757652
pick_diverse_bottles,20,0,FBFM,1,observation.images.cam_right_wrist,0.04084675759077072
pick_diverse_bottles,20,0,FBFM,2,observation.images.cam_right_wrist,0.04543429985642433
pick_diverse_bottles,20,0,FBFM,3,observation.images.cam_right_wrist,0.044931504875421524
pick_diverse_bottles,20,0,FBFM,4,observation.images.cam_right_wrist,0.048063866794109344
pick_diverse_bottles,21,0,FBFM,1,observation.images.cam_high,0.011962341144680977
pick_diverse_bottles,21,0,FBFM,2,observation.images.cam_high,0.01802787557244301
pick_diverse_bottles,21,0,FBFM,3,observation.images.cam_high,0.02107441984117031
pick_diverse_bottles,21,0,FBFM,4,observation.images.cam_high,0.030174244195222855
pick_diverse_bottles,21,0,FBFM,1,observation.images.cam_left_wrist,0.019221942871809006
pick_diverse_bottles,21,0,FBFM,2,observation.images.cam_left_wrist,0.01047686580568552
pick_diverse_bottles,21,0,FBFM,3,observation.images.cam_left_wrist,0.02556055411696434
pick_diverse_bottles,21,0,FBFM,4,observation.images.cam_left_wrist,0.050897266715765
pick_diverse_bottles,21,0,FBFM,1,observation.images.cam_right_wrist,0.03211309388279915
pick_diverse_bottles,21,0,FBFM,2,observation.images.cam_right_wrist,0.038605108857154846
pick_diverse_bottles,21,0,FBFM,3,observation.images.cam_right_wrist,0.04751662537455559
pick_diverse_bottles,21,0,FBFM,4,observation.images.cam_right_wrist,0.04999794811010361
