task,trial_id,wave_id,denoising_solver_step,cache_branch_velocity_rms,repeat_floor_velocity_rms
adjust_bottle,20,0,0,0.009232011623680592,0.0
adjust_bottle,20,0,1,0.008874131366610527,0.0
adjust_bottle,20,0,2,0.009212671779096127,0.0
adjust_bottle,20,0,3,0.008704330772161484,0.0
adjust_bottle,20,0,4,0.0087411655113101,0.0025594858452677727
adjust_bottle,20,0,5,0.00801828596740961,0.002916344441473484
adjust_bottle,20,0,6,0.008526040241122246,0.0031826950144022703
adjust_bottle,20,0,7,0.009027363732457161,0.002734540030360222
adjust_bottle,20,0,8,0.008406335487961769,0.0031236351933330297
adjust_bottle,20,0,9,0.008533354848623276,0.0034814479295164347
adjust_bottle,20,0,10,0.008133594878017902,0.003102299990132451
adjust_bottle,20,0,11,0.008669605478644371,0.003199192928150296
adjust_bottle,20,0,12,0.00923645868897438,0.0027501084841787815
adjust_bottle,20,0,13,0.008988570421934128,0.0022754885721951723
adjust_bottle,20,0,14,0.009019585326313972,0.0031993333250284195
adjust_bottle,20,0,15,0.008830464445054531,0.0028463408816605806
adjust_bottle,20,0,16,0.009447986260056496,0.0030601017642766237
adjust_bottle,20,0,17,0.009349746629595757,0.003253420814871788
adjust_bottle,20,0,18,0.009478171356022358,0.003169143572449684
adjust_bottle,20,0,19,0.009113353677093983,0.003046326572075486
adjust_bottle,20,0,20,0.009431752376258373,0.003666906850412488
adjust_bottle,20,0,21,0.009144889190793037,0.0036356765776872635
adjust_bottle,20,0,22,0.009335489012300968,0.0031711608171463013
adjust_bottle,20,0,23,0.008777075447142124,0.003472663927823305
adjust_bottle,20,0,24,0.009356041438877583,0.0036588157527148724
adjust_bottle,20,0,25,0.009038987569510937,0.0030730932485312223
adjust_bottle,20,0,26,0.009456474334001541,0.0036119509022682905
adjust_bottle,20,0,27,0.009060101583600044,0.0033940859138965607
adjust_bottle,20,0,28,0.009619412943720818,0.003922631032764912
adjust_bottle,20,0,29,0.010142412036657333,0.0038490653969347477
adjust_bottle,20,0,30,0.010335533879697323,0.0043222326785326
adjust_bottle,20,0,31,0.010632824152708054,0.003844980150461197
adjust_bottle,20,0,32,0.010351978242397308,0.004386266693472862
adjust_bottle,20,0,33,0.011295825242996216,0.0047485739924013615
adjust_bottle,20,0,34,0.011659053154289722,0.003901046235114336
adjust_bottle,20,0,35,0.011200502514839172,0.004680832382291555
adjust_bottle,20,0,36,0.011917038820683956,0.005129372235387564
adjust_bottle,20,0,37,0.012667784467339516,0.005002189893275499
adjust_bottle,20,0,38,0.014250616542994976,0.005565444473177195
adjust_bottle,20,0,39,0.014306176453828812,0.006342707201838493
adjust_bottle,20,0,40,0.014877992682158947,0.006282694172114134
adjust_bottle,20,0,41,0.01662980206310749,0.007120187859982252
adjust_bottle,20,0,42,0.01715679280459881,0.0073390984907746315
adjust_bottle,20,0,43,0.02154025249183178,0.00886036828160286
adjust_bottle,20,0,44,0.021799689158797264,0.011146597564220428
adjust_bottle,20,0,45,0.025168010964989662,0.010704874992370605
adjust_bottle,20,0,46,0.028611784800887108,0.01343949418514967
adjust_bottle,20,0,47,0.039564721286296844,0.016994524747133255
adjust_bottle,20,0,48,0.05030149221420288,0.025646213442087173
adjust_bottle,20,0,49,0.10822253674268723,0.04752782732248306
adjust_bottle,20,0,50,0.046866524964571,0.027301516383886337
adjust_bottle,20,1,0,0.005096822045743465,0.0
adjust_bottle,20,1,1,0.005957151297479868,0.0
adjust_bottle,20,1,2,0.005554309580475092,0.0
adjust_bottle,20,1,3,0.005038109142333269,0.0
adjust_bottle,20,1,4,0.005955989938229322,0.003626157296821475
adjust_bottle,20,1,5,0.006095205899327993,0.0034754069056361914
adjust_bottle,20,1,6,0.005143887363374233,0.0031174386385828257
adjust_bottle,20,1,7,0.005145626608282328,0.002390525070950389
adjust_bottle,20,1,8,0.006281223148107529,0.003026096150279045
adjust_bottle,20,1,9,0.005973321385681629,0.004018296021968126
adjust_bottle,20,1,10,0.006573833525180817,0.003705241484567523
adjust_bottle,20,1,11,0.005658925510942936,0.0036178315058350563
adjust_bottle,20,1,12,0.006011890713125467,0.0033414156641811132
adjust_bottle,20,1,13,0.005818640347570181,0.0033267177641391754
adjust_bottle,20,1,14,0.005896172020584345,0.002637633588165045
adjust_bottle,20,1,15,0.005513569340109825,0.003576884511858225
adjust_bottle,20,1,16,0.006545537151396275,0.0034430574160069227
adjust_bottle,20,1,17,0.00585049856454134,0.003005625680088997
adjust_bottle,20,1,18,0.006359908264130354,0.0037824835162609816
adjust_bottle,20,1,19,0.006141592748463154,0.0035385610535740852
adjust_bottle,20,1,20,0.006216271780431271,0.004002858884632587
adjust_bottle,20,1,21,0.006018220447003841,0.0034516328014433384
adjust_bottle,20,1,22,0.006131631787866354,0.00393931707367301
adjust_bottle,20,1,23,0.006417963653802872,0.00492627639323473
adjust_bottle,20,1,24,0.006693054456263781,0.0038140907417982817
adjust_bottle,20,1,25,0.006805663462728262,0.0043667955324053764
adjust_bottle,20,1,26,0.007396793458610773,0.00344879855401814
adjust_bottle,20,1,27,0.007590163499116898,0.004515514243394136
adjust_bottle,20,1,28,0.00734657421708107,0.003608828643336892
adjust_bottle,20,1,29,0.007778519298881292,0.00376101303845644
adjust_bottle,20,1,30,0.008025974035263062,0.0044389148242771626
adjust_bottle,20,1,31,0.007450687233358622,0.004388852510601282
adjust_bottle,20,1,32,0.008127842098474503,0.004403608851134777
adjust_bottle,20,1,33,0.008364452049136162,0.005889493506401777
adjust_bottle,20,1,34,0.009142170660197735,0.005090488586574793
adjust_bottle,20,1,35,0.008925759233534336,0.0051210192032158375
adjust_bottle,20,1,36,0.01038830541074276,0.0062548439018428326
adjust_bottle,20,1,37,0.01025415863841772,0.005760875064879656
adjust_bottle,20,1,38,0.010795741342008114,0.006603386253118515
adjust_bottle,20,1,39,0.012002279981970787,0.007247948087751865
adjust_bottle,20,1,40,0.011799020692706108,0.006898101419210434
adjust_bottle,20,1,41,0.012111314572393894,0.008461643010377884
adjust_bottle,20,1,42,0.015306673012673855,0.009408275596797466
adjust_bottle,20,1,43,0.016463108360767365,0.009580408222973347
adjust_bottle,20,1,44,0.01696302555501461,0.011076617985963821
adjust_bottle,20,1,45,0.020639536902308464,0.012202722951769829
adjust_bottle,20,1,46,0.024347936734557152,0.012467618100345135
adjust_bottle,20,1,47,0.03473798930644989,0.01960260421037674
adjust_bottle,20,1,48,0.04261256754398346,0.026167018339037895
adjust_bottle,20,1,49,0.08701872080564499,0.05292905122041702
adjust_bottle,20,1,50,0.056699685752391815,0.031098248437047005
adjust_bottle,21,0,0,0.007801753468811512,0.0
adjust_bottle,21,0,1,0.008503043092787266,0.0
adjust_bottle,21,0,2,0.007517574820667505,0.0
adjust_bottle,21,0,3,0.0075692590326070786,0.0
adjust_bottle,21,0,4,0.008224296383559704,0.0025344062596559525
adjust_bottle,21,0,5,0.008175930939614773,0.0030940864235162735
adjust_bottle,21,0,6,0.007725940085947514,0.003173497971147299
adjust_bottle,21,0,7,0.008285683579742908,0.0037910721730440855
adjust_bottle,21,0,8,0.007968427613377571,0.003283707657828927
adjust_bottle,21,0,9,0.008083444088697433,0.003787331748753786
adjust_bottle,21,0,10,0.008345553651452065,0.0032746903598308563
adjust_bottle,21,0,11,0.008814751170575619,0.003824861254543066
adjust_bottle,21,0,12,0.008995577692985535,0.0036644688807427883
adjust_bottle,21,0,13,0.008684560656547546,0.003599578747525811
adjust_bottle,21,0,14,0.008536282926797867,0.003421560162678361
adjust_bottle,21,0,15,0.008921959437429905,0.0035181106068193913
adjust_bottle,21,0,16,0.009105614386498928,0.0036208471283316612
adjust_bottle,21,0,17,0.008810603059828281,0.0034216197673231363
adjust_bottle,21,0,18,0.008717888966202736,0.0035797148011624813
adjust_bottle,21,0,19,0.008967901580035686,0.004491149447858334
adjust_bottle,21,0,20,0.008698309771716595,0.003845964092761278
adjust_bottle,21,0,21,0.009647578001022339,0.00345257087610662
adjust_bottle,21,0,22,0.008966348133981228,0.003495695535093546
adjust_bottle,21,0,23,0.008754589594900608,0.0033953040838241577
adjust_bottle,21,0,24,0.009497796185314655,0.003982750233262777
adjust_bottle,21,0,25,0.00967822689563036,0.0037575603928416967
adjust_bottle,21,0,26,0.009011514484882355,0.003776735160499811
adjust_bottle,21,0,27,0.00944743026047945,0.004183526616543531
adjust_bottle,21,0,28,0.00948762521147728,0.004286301322281361
adjust_bottle,21,0,29,0.009826473891735077,0.004232754930853844
adjust_bottle,21,0,30,0.009752541780471802,0.004654380958527327
