task,trial_id,probe_count,mean_cache_branch_action_rms,mean_repeat_floor_action_rms,signal_to_repeat_ratio
adjust_bottle,20,2,0.00413104216568172,0.0008462142141070217,4.8817924549294585
adjust_bottle,21,2,0.007675301982089877,0.001227503060363233,6.252776249550581
pick_diverse_bottles,20,2,0.011691590305417776,0.0014849462895654142,7.873409555331087
pick_diverse_bottles,21,2,0.012101738713681698,0.0012613728176802397,9.594101398139935
