horizon_frame,method,independent_units,mean_equal_camera_rgb_mse,min_unit_rgb_mse,max_unit_rgb_mse
1,RTC,4,0.023116352851502597,0.017707787609348696,0.029838998802006245
1,FBFM,4,0.02376480435486883,0.020561995760848124,0.029989431612193584
2,RTC,4,0.02436617905429254,0.02174068195745349,0.03066742792725563
2,FBFM,4,0.02489344092706839,0.02143101052691539,0.030576249584555626
3,RTC,4,0.0284749959440281,0.024342910386621952,0.03321126755326986
3,FBFM,4,0.028766032424755394,0.023803165492912132,0.03370352710286776
4,RTC,4,0.03624299975732962,0.03146269669135412,0.042697236562768616
4,FBFM,4,0.03660627109153817,0.03147428979476293,0.04368981967369715
