unit,task,trial_id,rtc_latent_mse,fbfm_latent_mse,absolute_mse_reduction,relative_mse_reduction,rtc_cosine_similarity,fbfm_cosine_similarity,cosine_improvement,fbfm_mse_lower
Adjust / T20,adjust_bottle,20,0.85546875,0.8547433018684387,0.0007254481315612,0.0008480124277611,0.4091473817825317,0.4112394154071808,0.002092033624649,1
Adjust / T21,adjust_bottle,21,0.7456583976745605,0.7288599610328674,0.0167984366416931,0.0225283275747733,0.4852182269096374,0.4949000179767608,0.0096817910671234,1
Pick / T20,pick_diverse_bottles,20,0.5347069501876831,0.5265663862228394,0.0081405639648437,0.0152243466481712,0.64574134349823,0.6505497694015503,0.0048084259033203,1
Pick / T21,pick_diverse_bottles,21,0.5955013036727905,0.5904255509376526,0.0050757527351379,0.0085234955890657,0.559355616569519,0.5638121366500854,0.0044565200805664,1
