unit,task,trial_id,rtc_latent_mse,fbfm_latent_mse,absolute_mse_reduction,relative_mse_reduction,rtc_cosine_similarity,fbfm_cosine_similarity,cosine_improvement,fbfm_mse_lower,probe_count,mean_cache_branch_action_rms,mean_repeat_floor_action_rms,signal_to_repeat_ratio,action_signal_above_repeat_floor
Adjust / T20,adjust_bottle,20,0.85546875,0.8547433018684387,0.0007254481315612,0.0008480124277611,0.4091473817825317,0.4112394154071808,0.002092033624649,1,2,0.0041310421656817,0.000846214214107,4.8817924549294585,0.0032848279515747
Adjust / T21,adjust_bottle,21,0.7456583976745605,0.7288599610328674,0.0167984366416931,0.0225283275747733,0.4852182269096374,0.4949000179767608,0.0096817910671234,1,2,0.0076753019820898,0.0012275030603632,6.252776249550581,0.0064477989217266
Pick / T20,pick_diverse_bottles,20,0.5347069501876831,0.5265663862228394,0.0081405639648437,0.0152243466481712,0.64574134349823,0.6505497694015503,0.0048084259033203,1,2,0.0116915903054177,0.0014849462895654,7.873409555331087,0.0102066440158523
Pick / T21,pick_diverse_bottles,21,0.5955013036727905,0.5904255509376526,0.0050757527351379,0.0085234955890657,0.559355616569519,0.5638121366500854,0.0044565200805664,1,2,0.0121017387136816,0.0012613728176802,9.594101398139935,0.010840365896001401
