condition,normalized_action_channel,independent_units,mean_channel_rms,min_unit_channel_rms,max_unit_channel_rms
rtc_vs_fbfm_cache_switch,0,4,0.011761746602132916,0.003647344303317368,0.020456309313885868
rtc_vs_fbfm_cache_switch,1,4,0.009932543413015082,0.004507991368882358,0.015143811237066984
rtc_vs_fbfm_cache_switch,2,4,0.013082107820082456,0.00997515581548214,0.019063130021095276
rtc_vs_fbfm_cache_switch,3,4,0.005464207191835158,0.0033313186722807586,0.006970400456339121
rtc_vs_fbfm_cache_switch,4,4,0.004569778742734343,0.0018252120935358107,0.009276836179196835
rtc_vs_fbfm_cache_switch,5,4,0.004680382247897796,0.0023654517135582864,0.007415141444653273
rtc_vs_fbfm_cache_switch,6,4,0.0037698954838560894,0.00231057166820392,0.005367355304770172
rtc_vs_fbfm_cache_switch,7,4,0.00922872697992716,0.00230997969629243,0.017843564972281456
rtc_vs_fbfm_cache_switch,8,4,0.011022901904652826,0.001091830083169043,0.022514280397444963
rtc_vs_fbfm_cache_switch,9,4,0.008910392032703385,0.0016733647207729518,0.019823926966637373
rtc_vs_fbfm_cache_switch,10,4,0.006977543183893431,0.0009094780834857374,0.01515109813772142
rtc_vs_fbfm_cache_switch,11,4,0.0020774307631654665,0.0008988818735815585,0.005081753479316831
rtc_vs_fbfm_cache_switch,12,4,0.0022784194006817415,0.0008528089383617043,0.004712010035291314
rtc_vs_fbfm_cache_switch,13,4,0.004159166375757195,0.0018693491583690047,0.005987503915093839
rtc_vs_fbfm_cache_switch,28,4,0.0018567821534816176,0.001580111333169043,0.002071601862553507
rtc_vs_fbfm_cache_switch,29,4,0.002910082141170278,0.001953125,0.0034583802334964275
same_cache_repeat_floor,0,4,0.0005885269420105033,0.00048828125,0.0007125387346604839
same_cache_repeat_floor,1,4,0.001002097353193676,0.0005769867275375873,0.0016600384842604399
same_cache_repeat_floor,2,4,0.0011352104738762137,0.0005499851104104891,0.0013673781941179186
same_cache_repeat_floor,3,4,0.0008545814089302439,0.000625294676865451,0.0010341962915845215
same_cache_repeat_floor,4,4,0.0006377326280926354,0.00033217067539226264,0.0010319555876776576
same_cache_repeat_floor,5,4,0.0007712284568697214,0.00033151739626191556,0.0012885539326816797
same_cache_repeat_floor,6,4,0.0011685507270158269,0.0008457279182039201,0.0013810679083690047
same_cache_repeat_floor,7,4,0.0014159327984089032,0.00048828125,0.001972091617062688
same_cache_repeat_floor,8,4,0.0006483291945187375,0.0,0.0010550428996793926
same_cache_repeat_floor,9,4,0.000916271466849139,0.0005974522064207122,0.0014365389361046255
same_cache_repeat_floor,10,4,0.0006620441490667872,0.0003415299142943695,0.0010863012284971774
same_cache_repeat_floor,11,4,0.0004099498073628638,0.00033614046697039157,0.0005149218923179433
same_cache_repeat_floor,12,4,0.00046715818461962044,0.00039570732042193413,0.0005632176180370152
same_cache_repeat_floor,13,4,0.0010061817156383768,0.0,0.0023576304083690047
same_cache_repeat_floor,28,4,0.0009660145733505487,0.00048828125,0.0013340091682039201
same_cache_repeat_floor,29,4,0.002591402124380693,0.0009765625,0.004136785166338086
