unit,task,trial_id,condition,normalized_action_channel,probe_count,channel_rms
Adjust / T21,adjust_bottle,21,same_cache_repeat_floor,11,2,0.0003853046364383772
Adjust / T21,adjust_bottle,21,same_cache_repeat_floor,12,2,0.0004608664021361619
Adjust / T21,adjust_bottle,21,same_cache_repeat_floor,13,2,0.0023576304083690047
Adjust / T21,adjust_bottle,21,same_cache_repeat_floor,28,2,0.0011960399569943547
Adjust / T21,adjust_bottle,21,same_cache_repeat_floor,29,2,0.0021797370864078403
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,0,2,0.009287311229854822
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,1,2,0.015143811237066984
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,2,2,0.011533202370628715
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,3,2,0.006970400456339121
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,4,2,0.0018252120935358107
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,5,2,0.0023654517135582864
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,6,2,0.002887495793402195
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,7,2,0.01377156563103199
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,8,2,0.022514280397444963
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,9,2,0.019823926966637373
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,10,2,0.010774093505460769
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,11,2,0.0010951237636618316
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,12,2,0.004712010035291314
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,13,2,0.00575042434502393
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,28,2,0.002071601862553507
Pick / T20,pick_diverse_bottles,20,rtc_vs_fbfm_cache_switch,29,2,0.001953125
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,0,2,0.00048828125
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,1,2,0.0016600384842604399
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,2,2,0.0013673781941179186
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,3,2,0.0007900556665845215
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,4,2,0.00035325602220837027
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,5,2,0.00033151739626191556
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,6,2,0.0011788152041845024
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,7,2,0.001972091617062688
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,8,2,0.0010550428996793926
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,9,2,0.0010128702269867063
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,10,2,0.0008629947260487825
