task,trial_id,method,source_wave_id,realized_wave_id,one_step_latent_mse,cosine_similarity,selected_count,strictly_paired_initial_history,comparison_scope
pick_diverse_bottles,21,RTC,16,17,1.136016845703125,0.3610795438289642,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,RTC,17,18,0.938551664352417,0.4745040833950043,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,RTC,18,19,0.7295244932174683,0.5825709104537964,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,RTC,19,20,0.9418779611587524,0.4829393923282623,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,RTC,20,21,0.933413565158844,0.4612516164779663,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,RTC,21,22,0.9380835890769958,0.4880378246307373,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,RTC,22,23,1.2081148624420166,0.3962269127368927,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,RTC,23,24,1.1451122760772705,0.3996659517288208,23040,0,descriptive_own_trajectory
pick_diverse_bottles,20,FBFM,0,1,0.5265663862228394,0.6505497694015503,23040,1,strict_paired_initial_condition
pick_diverse_bottles,20,FBFM,1,2,0.5560990571975708,0.668403685092926,23040,0,descriptive_own_trajectory
pick_diverse_bottles,20,FBFM,2,3,0.6067275404930115,0.6349265575408936,23040,0,descriptive_own_trajectory
pick_diverse_bottles,20,FBFM,3,4,0.5955110192298889,0.6357522010803223,23040,0,descriptive_own_trajectory
pick_diverse_bottles,20,FBFM,4,5,0.554621696472168,0.6811336874961853,23040,0,descriptive_own_trajectory
pick_diverse_bottles,20,FBFM,5,6,0.8955780863761902,0.520664393901825,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,0,1,0.5904255509376526,0.5638121366500854,23040,1,strict_paired_initial_condition
pick_diverse_bottles,21,FBFM,1,2,0.5956874489784241,0.6196183562278748,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,2,3,0.7136611938476562,0.5563021302223206,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,3,4,0.6843606233596802,0.5548545718193054,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,4,5,0.683413565158844,0.5881253480911255,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,5,6,0.8641323447227478,0.5111949443817139,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,6,7,0.8770630359649658,0.5174310207366943,23040,0,descriptive_own_trajectory
