task,trial_id,probe_count,mean_cache_branch_action_rms,mean_repeat_floor_action_rms,signal_to_repeat_ratio,unit,action_signal_above_repeat_floor
adjust_bottle,20,2,0.0041310421656817,0.000846214214107,4.8817924549294585,Adjust / T20,0.0032848279515747
adjust_bottle,21,2,0.0076753019820898,0.0012275030603632,6.252776249550581,Adjust / T21,0.0064477989217266
pick_diverse_bottles,20,2,0.0116915903054177,0.0014849462895654,7.873409555331087,Pick / T20,0.0102066440158523
pick_diverse_bottles,21,2,0.0121017387136816,0.0012613728176802,9.594101398139935,Pick / T21,0.010840365896001401
