denoising_solver_step,independent_units,mean_velocity_rms,min_unit_velocity_rms,max_unit_velocity_rms,condition
16,4,0.0035846075625158,0.0032515795901417,0.003876268165186,same_cache_repeat_floor
17,4,0.0037989940319675,0.0031295232474803,0.0047727688215672,same_cache_repeat_floor
18,4,0.0036443266726564,0.0033450364135205,0.0042553334496915,same_cache_repeat_floor
19,4,0.0036792555474676,0.0032924438128247,0.0039426099974662,same_cache_repeat_floor
20,4,0.0040068643575068,0.0038348828675225,0.0042941325809806,same_cache_repeat_floor
21,4,0.003749949944904,0.0034602910745888,0.0041995574720203,same_cache_repeat_floor
22,4,0.0039386168937198,0.0035552389454096,0.0043949445243924,same_cache_repeat_floor
23,4,0.0041931379819288,0.0038299730513244,0.0044942800886929,same_cache_repeat_floor
24,4,0.0043383376614656,0.0037364532472565,0.0048301809001713,same_cache_repeat_floor
25,4,0.004102347564185,0.0037199443904682,0.0046346415765583,same_cache_repeat_floor
26,4,0.0042667095549404,0.0035303747281432,0.0047852490097284,same_cache_repeat_floor
27,4,0.004392827511765,0.0039548000786453,0.0048676342703402,same_cache_repeat_floor
28,4,0.0042702734062913,0.0037657298380509,0.0047207621391862,same_cache_repeat_floor
29,4,0.0046352258068509,0.0038050392176955,0.0052971192635595,same_cache_repeat_floor
30,4,0.0047053936286829,0.0043805737514048,0.0054050267208367,same_cache_repeat_floor
31,4,0.0047797664301469,0.0041169163305312,0.0051770280115306,same_cache_repeat_floor
32,4,0.0052125960355624,0.0043949377723038,0.005848572589457,same_cache_repeat_floor
33,4,0.005417549284175,0.0053190337494015,0.0055346386507153,same_cache_repeat_floor
34,4,0.0054235823336057,0.0044957674108445,0.0059771321248263,same_cache_repeat_floor
35,4,0.0058433292433619,0.0049009257927536,0.0064269215799868,same_cache_repeat_floor
36,4,0.0065554883913137,0.0056921080686151,0.0071872000116854,same_cache_repeat_floor
37,4,0.0062521894578821,0.0053815324790775,0.0066574125085026,same_cache_repeat_floor
38,4,0.0067363663692958,0.0060844153631478,0.0072871118318289,same_cache_repeat_floor
39,4,0.0071295529487542,0.0066115143708884,0.0075766961090266,same_cache_repeat_floor
40,4,0.0077320489799603,0.0065903977956622,0.0085770604200661,same_cache_repeat_floor
41,4,0.0085884400759823,0.00779091543518,0.0090865963138639,same_cache_repeat_floor
42,4,0.0089891460957005,0.008373687043786,0.0096214688383042,same_cache_repeat_floor
43,4,0.0100424494594335,0.0092203882522881,0.0108233247883617,same_cache_repeat_floor
44,4,0.0117168059805408,0.0111116077750921,0.0122267305850982,same_cache_repeat_floor
45,4,0.0124650144716724,0.0114537989720702,0.0136148454621434,same_cache_repeat_floor
46,4,0.0148368942318484,0.0129535561427474,0.0155087155289947,same_cache_repeat_floor
47,4,0.019673831295222,0.0182985644787549,0.0213696453720331,same_cache_repeat_floor
48,4,0.0278435263317078,0.0259066158905625,0.0319156078621745,same_cache_repeat_floor
49,4,0.0546605437994003,0.05022843927145,0.0615271385759115,same_cache_repeat_floor
50,4,0.0381045322865247,0.0291998824104666,0.0467734616249799,same_cache_repeat_floor
